,train_score,train_weighted_dice,train_dice,train_loss,epoch,waiting,val_score,val_weighted_dice,val_dice,test_dice,test_weighted_dice,test_iou,test_prec,test_recall,test_score,model_base,context_span,blob_points,bg_points,loss,foldername,sources,separation_loss,prior_extend,weighted_point_loss
0,0.5986756870952925,0.5986756870952925,0.7947046838643544,-0.919351017286655,32,0,0.5898157481411621,0.5898157481411621,0.7872903089526594,0.8097338774504252,0.6258205000967475,0.7225906215487523,0.9396292318178021,0.7399394531147285,0.6258205000967475,fcn8_vgg16,1,1,5,"['unsupervised_rotation_loss', 'rot_point_loss_multi', 'prior_extend', 'separation_loss']",e5df8bf39051f574de84779e9b30c029_xVertSeg,"['xVertSeg', 'USiegen', 'MyoSegmenTUM', 'PLoS']",True,True,False
1,0.5570201419040324,0.5570201419040324,0.7478913624042217,-0.9824569187838811,58,2,0.5585249438849202,0.5585249438849202,0.7490324901178295,0.7803391551592119,0.5653900908030832,0.6932232890912744,0.9917605006129628,0.6970312497269278,0.5653900908030832,fcn8_vgg16,1,1,5,"['unsupervised_rotation_loss', 'rot_point_loss_multi', 'prior_extend', 'separation_loss']",e5df8bf39051f574de84779e9b30c029_PLoS,"['xVertSeg', 'USiegen', 'MyoSegmenTUM', 'PLoS']",True,True,False
2,0.533293242024748,0.533293242024748,0.7342726163290565,-0.9714732653782016,40,0,0.44190540870177347,0.44190540870177347,0.6850871549910049,0.776776480022238,0.5597055115328097,0.68942464654962,0.9162680595895343,0.7081358815883441,0.5597055115328097,fcn8_vgg16,1,1,5,"['unsupervised_rotation_loss', 'rot_point_loss_multi', 'prior_extend', 'separation_loss']",e5df8bf39051f574de84779e9b30c029_USiegen,"['xVertSeg', 'USiegen', 'MyoSegmenTUM', 'PLoS']",True,True,False
3,0.4994054302336624,0.4994054302336624,0.7345968641581595,-0.9686884156167686,33,10,0.48481867312295307,0.48481867312295307,0.7286933113868541,0.7441633347991946,0.4959842248921959,0.6586926236902073,0.9727199135156205,0.6661812428045055,0.4959842248921959,fcn8_vgg16,1,3,10,"['unsupervised_rotation_loss', 'rot_point_loss_multi', 'prior_extend', 'separation_loss']",28226d50e9b646704dd7b51c35de21d3,"['xVertSeg', 'USiegen', 'MyoSegmenTUM', 'PLoS']",True,True,False
4,0.47689589743139343,0.47689589743139343,0.7258920305605437,-0.9638713592180168,24,5,0.46069754001465135,0.46069754001465135,0.720538328781222,0.7337362913301135,0.475737111397121,0.6493472678073577,0.9782765087993903,0.6564494659573793,0.475737111397121,fcn8_vgg16,1,1,5,"['unsupervised_rotation_loss', 'rot_point_loss_multi', 'prior_extend', 'separation_loss']",e5df8bf39051f574de84779e9b30c029,"['xVertSeg', 'USiegen', 'MyoSegmenTUM', 'PLoS']",True,True,False
5,0.47395597269487144,0.47395597269487144,,-0.9765727555701803,5,2,0.4635063223803738,0.4635063223803738,0.7261983369577004,0.7311386999029752,0.47077035610181817,0.6470119007181964,0.9855975706846916,0.6535559917846843,0.47077035610181817,fcn8_vgg16,1,5,5,"['unsupervised_rotation_loss', 'rot_point_loss_multi', 'prior_extend', 'separation_loss']",6126782960c8ebeb44c781ecade37ba1,"['xVertSeg', 'USiegen', 'MyoSegmenTUM', 'PLoS']",True,True,False
6,0.43826782466582415,0.43826782466582415,0.716945608068673,-0.9741289512778272,50,5,0.4329125018186779,0.4329125018186779,0.7109197963995354,0.716389785104859,0.44212073910584193,0.6342734381201918,0.9838308714025622,0.6414708259296606,0.44212073910584193,fcn8_vgg16,1,3,10,"['unsupervised_rotation_loss', 'rot_point_loss_multi_weighted', 'prior_extend', 'separation_loss']",77f85a6af05d76de63618ecb027b4210,"['xVertSeg', 'USiegen', 'MyoSegmenTUM', 'PLoS']",True,True,True
7,0.43789083525343886,0.43789083525343886,0.6883701088745817,-0.9729954655174037,48,0,0.41381812365280374,0.41381812365280374,0.6819695812094384,0.7090884249848828,0.42755562726010693,0.6283876055535845,0.9411812886770949,0.6388937682583166,0.42755562726010693,fcn8_vgg16,1,1,5,"['unsupervised_rotation_loss', 'rot_point_loss_multi', 'prior_extend', 'separation_loss']",e5df8bf39051f574de84779e9b30c029_MyoSegmenTUM,"['xVertSeg', 'USiegen', 'MyoSegmenTUM', 'PLoS']",True,True,False
8,0.3730632450594211,0.3730632450594211,0.6737809613594676,0.012214537285862031,3,10,0.3610634293876257,0.3610634293876257,0.6693455676412979,0.6733705330624188,0.3593603639413983,0.599034842302463,0.9880316558631659,0.6084246201121085,0.3593603639413983,fcn8_vgg16,1,5,5,"['unsupervised_rotation_loss', 'rot_point_loss_multi', 'prior_extend']",b498b1c4bb2a67d50083b0e0fafab75d,"['xVertSeg', 'USiegen', 'MyoSegmenTUM', 'PLoS']",False,True,False
9,0.33033917311667055,0.33033917311667055,0.658028587410856,-0.9712469027098101,15,5,0.3255220514173511,0.3255220514173511,0.6539731163032686,0.651150448785079,0.31705552279100985,0.5818119129370556,0.9832859611295115,0.5931419975908102,0.31705552279100985,fcn8_vgg16,1,5,5,"['unsupervised_rotation_loss', 'rot_point_loss_multi', 'separation_loss']",cbce367c887651d9c7baa1cf17defa60,"['xVertSeg', 'USiegen', 'MyoSegmenTUM', 'PLoS']",True,False,False
